,Chi-squared,Df,Number of samples,P-value,PRNG,Pop size,Range,Range P-value,Sample size,seed
0,[ 285.472],555,715.0,[ 1.],RANDU,13,6,0.998746913496,4,100
1,[ 238.744],276,286.0,[ 0.94892968],RANDU,13,10,0.743368487599,10,100
2,[ 14.55],984,27405.0,[ 1.],RANDU,30,1,1.0,4,100
3,[ 0.],999,30045015.0,[ 1.],RANDU,30,0,1.0,10,100
4,[ 287.696],555,715.0,[ 1.],SD,13,4,1.0,4,100
5,[ 320.458],546,715.0,[ 1.],SD,13,6,0.998746913496,4,233424280
6,[ 226.536],277,286.0,[ 0.98812957],SD,13,7,0.999999882065,10,100
7,[ 250.536],273,286.0,[ 0.83155946],SD,13,9,0.970423612022,10,233424280
8,[ 17.352],981,27405.0,[ 1.],SD,30,1,1.0,4,100
9,[ 18.278],980,27405.0,[ 1.],SD,30,1,1.0,4,233424280
10,[ 0.],999,30045015.0,[ 1.],SD,30,0,1.0,10,100
11,[ 0.],999,30045015.0,[ 1.],SD,30,0,1.0,10,233424280
12,[ 267.362],542,715.0,[ 1.],MT,13,4,1.0,4,100
13,[ 310.75],534,715.0,[ 1.],MT,13,5,0.999999999988,4,233424280
14,[ 308.3],533,715.0,[ 1.],MT,13,6,0.998746913496,4,429496729
15,[ 230.434],276,286.0,[ 0.97877003],MT,13,8,0.99965296137,10,100
16,[ 247.054],276,286.0,[ 0.89422253],MT,13,8,0.99965296137,10,233424280
17,[ 245.392],280,286.0,[ 0.93306139],MT,13,9,0.970423612022,10,429496729
18,[ 22.848],975,27405.0,[ 1.],MT,30,1,1.0,4,100
19,[ 17.352],981,27405.0,[ 1.],MT,30,1,1.0,4,233424280
20,[ 19.2],979,27405.0,[ 1.],MT,30,1,1.0,4,429496729
21,[ 0.],999,30045015.0,[ 1.],MT,30,0,1.0,10,100
22,[ 0.],999,30045015.0,[ 1.],MT,30,0,1.0,10,233424280
23,[ 0.],999,30045015.0,[ 1.],MT,30,0,1.0,10,429496729
24,[ 292.184],547,715.0,[ 1.],SHA256,13,6,0.998746913496,4,100
25,[ 302.728],540,715.0,[ 1.],SHA256,13,5,0.999999999988,4,233424280
26,[ 301.34],528,715.0,[ 1.],SHA256,13,5,0.999999999988,4,429496729
27,[ 226.002],276,286.0,[ 0.98756085],SHA256,13,8,0.99965296137,10,100
28,[ 237.1],277,286.0,[ 0.96041361],SHA256,13,8,0.99965296137,10,233424280
29,[ 261.496],273,286.0,[ 0.68110077],SHA256,13,10,0.743368487599,10,429496729
30,[ 13.608],985,27405.0,[ 1.],SHA256,30,1,1.0,4,100
31,[ 21.16],979,27405.0,[ 1.],SHA256,30,2,4.49446534238e-05,4,233424280
32,[ 21.28],981,27405.0,[ 1.],SHA256,30,2,4.49446534238e-05,4,429496729
33,[ 0.],999,30045015.0,[ 1.],SHA256,30,0,1.0,10,100
34,[ 0.],999,30045015.0,[ 1.],SHA256,30,0,1.0,10,233424280
35,[ 0.],999,30045015.0,[ 1.],SHA256,30,0,1.0,10,429496729
