,Algorithm,Chi-squared,Df,P-value,PRNG,Pop size,Range,Range P-value,Sample size,reps,seed
0,PIKK,7.88438,12,0.7940991665317922,MT,13,556,0.5605050901840538,4,100000,100
1,FYKD,8.32898,12,0.758922321349387,MT,13,512,0.6896707893141236,4,100000,100
2,Random_Sample,6310.79554,12,0.0,MT,13,8745,0.0,4,100000,100
3,Algorithm_R,6239.6487499999985,12,0.0,MT,13,8654,1.1102230246251565e-16,4,100000,100
4,PIKK,5.875666249999999,12,0.9222193492219911,MT,13,805,0.9662102640088469,4,500000,100
5,FYKD,12.8356875,12,0.3810959546749112,MT,13,1113,0.7288999434257983,4,500000,100
6,Random_Sample,24827.31393125,12,0.0,MT,13,34034,4.744267534384505e-09,4,500000,100
7,Algorithm_R,25188.994259999996,12,0.0,MT,13,34291,0.0,4,500000,100
8,PIKK,7.949433000000002,12,0.7890694385063414,MT,13,1081,0.9776148857873518,4,1000000,100
9,FYKD,9.240437,12,0.682268282266995,MT,13,1059,0.981088301928638,4,1000000,100
10,Random_Sample,31781.323897000002,12,0.0,MT,13,42781,4.228834626918143e-08,4,1000000,100
11,Algorithm_R,31448.55219800001,12,0.0,MT,13,42472,0.0,4,1000000,100
12,PIKK,6.352057,12,0.8973056860503297,MT,13,2573,0.9632983005487534,4,5000000,100
13,FYKD,7.110704500000001,12,0.8502117987163947,MT,13,2912,0.91039812505466,4,5000000,100
14,Random_Sample,250231.56575975,12,0.0,MT,13,336214,0.00012207024234922592,4,5000000,100
15,Algorithm_R,250498.132630125,12,0.0,MT,13,336231,0.00012207024243360287,4,5000000,100
16,PIKK,11.818455499999999,12,0.4603677791585832,MT,13,3618,0.964883548054464,4,10000000,100
17,FYKD,6.861809000000001,12,0.8666089907232027,MT,13,2774,0.9964148832745886,4,10000000,100
18,Random_Sample,313683.7881445,12,0.0,MT,13,419243,0.00012206924586233292,4,10000000,100
19,Algorithm_R,311178.8636562,12,0.0,MT,13,418255,0.00012206919586321696,4,10000000,100
20,PIKK,10.06032,12,0.6106687189351725,MT,13,458,0.8261922022093534,4,100000,233424280
21,FYKD,6.547199999999999,12,0.8860307106656659,MT,13,382,0.9471319052097875,4,100000,233424280
22,Random_Sample,6452.092085,12,0.0,MT,13,8840,2.644773289262048e-12,4,100000,233424280
23,Algorithm_R,6367.227175,12,0.0,MT,13,9049,6.661338147750939e-16,4,100000,233424280
24,PIKK,15.5415725,12,0.2131461566087255,MT,13,1309,0.47284344428096803,4,500000,233424280
25,FYKD,5.8632349999999995,12,0.9228185960994215,MT,13,830,0.9572936558243843,4,500000,233424280
26,Random_Sample,25135.23297125,12,0.0,MT,13,33866,4.42454672899828e-09,4,500000,233424280
27,Algorithm_R,25102.411887500002,12,0.0,MT,13,34151,0.0,4,500000,233424280
28,PIKK,16.588518,12,0.16574230330227638,MT,13,1633,0.6772102508955544,4,1000000,233424280
29,FYKD,8.898354999999999,12,0.711586891938985,MT,13,999,0.9884498961716242,4,1000000,233424280
30,Random_Sample,31444.203997,12,0.0,MT,13,42972,4.366780870235232e-08,4,1000000,233424280
31,Algorithm_R,31540.493775000006,12,0.0,MT,13,42293,0.0,4,1000000,233424280
32,PIKK,7.650674125,12,0.8117987776586474,MT,13,2830,0.9262732822930099,4,5000000,233424280
33,FYKD,8.779633125,12,0.721628547985588,MT,13,3285,0.8115564475253595,4,5000000,233424280
34,Random_Sample,249583.510437875,12,0.0,MT,13,335805,0.00012207024027488522,4,5000000,233424280
35,Algorithm_R,249499.43406075006,12,0.0,MT,13,336168,0.00012207024211852158,4,5000000,233424280
36,PIKK,13.150620100000001,12,0.3581887316503431,MT,13,4234,0.8924411404228534,4,10000000,233424280
37,FYKD,6.0869998999999995,12,0.91163301363394,MT,13,2994,0.9927949466317344,4,10000000,233424280
38,Random_Sample,314408.1808473,12,0.0,MT,13,420568,0.00012206930952818329,4,10000000,233424280
39,Algorithm_R,311501.7124253,12,0.0,MT,13,418685,0.00012206921789625902,4,10000000,233424280
40,PIKK,4.07694,12,0.9820076351989576,MT,13,339,0.9790891662307856,4,100000,429496729
41,FYKD,9.841595,12,0.6298551805321475,MT,13,422,0.8947249044845675,4,100000,429496729
42,Random_Sample,6330.72363,12,0.0,MT,13,8625,0.0,4,100000,429496729
43,Algorithm_R,6212.145039999999,12,0.0,MT,13,8696,3.3306690738754696e-16,4,100000,429496729
44,PIKK,17.841272500000002,12,0.12059571868022086,MT,13,1381,0.3812331972706655,4,500000,429496729
45,FYKD,8.6830975,12,0.7297332141528096,MT,13,834,0.95572026732308,4,500000,429496729
46,Random_Sample,24525.366295,12,0.0,MT,13,33805,1.816604384696774e-07,4,500000,429496729
47,Algorithm_R,25263.101085,12,0.0,MT,13,34141,0.0,4,500000,429496729
48,PIKK,16.074069,12,0.18786707480132542,MT,13,1675,0.6388045559769644,4,1000000,429496729
49,FYKD,6.9195079999999995,12,0.862886617273881,MT,13,1247,0.9335449154934351,4,1000000,429496729
50,Random_Sample,31734.187300999998,12,0.0,MT,13,42994,4.440892098500626e-16,4,1000000,429496729
51,Algorithm_R,31578.525054,12,0.0,MT,13,42425,3.3306690738754696e-16,4,1000000,429496729
52,PIKK,14.886002875,12,0.2477299403416347,MT,13,4288,0.4122654423550911,4,5000000,429496729
53,FYKD,5.423483249999999,12,0.9423200515451794,MT,13,2409,0.9782250644712148,4,5000000,429496729
54,Random_Sample,250260.60831875002,12,0.0,MT,13,336229,0.00012207024242394393,4,5000000,429496729
55,Algorithm_R,249970.77875275002,12,0.0,MT,13,335194,0.00012207023706534148,4,5000000,429496729
56,PIKK,10.7191742,12,0.5531264519097141,MT,13,3965,0.9309321868506943,4,10000000,429496729
57,FYKD,10.903298399999999,12,0.5372237492747591,MT,13,3846,0.9444496001653044,4,10000000,429496729
58,Random_Sample,314594.05445859995,12,0.0,MT,13,420584,0.00012206931027436418,4,10000000,429496729
59,Algorithm_R,313161.39206379995,12,0.0,MT,13,420040,0.0001220692846112259,4,10000000,429496729
60,PIKK,2.212378,12,0.9990041878185268,MT,13,399,0.9985492439261696,10,100000,100
61,FYKD,3.906226,12,0.9850696388206467,MT,13,466,0.9937452867452756,10,100000,100
62,Random_Sample,2052.0043040000005,12,0.0,MT,13,8385,2.0772161768434216e-11,10,100000,100
63,Algorithm_R,2099.146412,12,0.0,MT,13,8733,4.323175151199621e-11,10,100000,100
64,PIKK,3.2235799999999997,12,0.9937490919425296,MT,13,926,0.9979199045603575,10,500000,100
65,FYKD,4.909322500000001,12,0.960939191422703,MT,13,1062,0.9925817161739818,10,500000,100
66,Random_Sample,8382.051362,12,0.0,MT,13,34390,0.0,10,500000,100
67,Algorithm_R,8391.5916135,12,0.0,MT,13,33979,3.055333763768431e-13,10,500000,100
68,PIKK,3.5483216,12,0.9902791959731047,MT,13,1124,0.9995429964754499,10,1000000,100
69,FYKD,1.8302728,12,0.9996251617689215,MT,13,924,0.9999415997465747,10,1000000,100
70,Random_Sample,10399.2886428,12,0.0,MT,13,42317,1.2355435674571424e-08,10,1000000,100
71,Algorithm_R,10326.779884399999,12,0.0,MT,13,42199,1.1102230246251565e-16,10,1000000,100
72,PIKK,2.2497673,12,0.9989159743953099,MT,13,2486,0.9995913360993792,10,5000000,100
73,FYKD,4.3914022500000005,12,0.9752942591047473,MT,13,3512,0.989003560598566,10,5000000,100
74,Random_Sample,82985.77486905,12,0.0,MT,13,334043,1.1102230246251565e-16,10,5000000,100
75,Algorithm_R,83181.40779745,12,0.0,MT,13,335138,1.0222583446406475e-07,10,5000000,100
76,PIKK,2.3057017600000003,12,0.9987729737165716,MT,13,3014,0.999918545421023,10,10000000,100
77,FYKD,1.9953407999999997,12,0.9994129237447239,MT,13,2988,0.9999257564668529,10,10000000,100
78,Random_Sample,104223.93942420001,12,0.0,MT,13,418267,0.0,10,10000000,100
79,Algorithm_R,104145.98968532,12,0.0,MT,13,418124,3.255350589093098e-08,10,10000000,100
80,PIKK,2.30174,12,0.9987835523636276,MT,13,373,0.9992555667920907,10,100000,233424280
81,FYKD,2.7910600000000003,12,0.9968479706270628,MT,13,522,0.9832036083246091,10,100000,233424280
82,Random_Sample,2067.3197600000003,12,0.0,MT,13,8572,0.0,10,100000,233424280
83,Algorithm_R,2167.794628,12,0.0,MT,13,8974,0.0,10,100000,233424280
84,PIKK,2.198621,12,0.9990352181473267,MT,13,871,0.9988541831624903,10,500000,233424280
85,FYKD,2.364553,12,0.998607399716627,MT,13,867,0.9989050952705621,10,500000,233424280
86,Random_Sample,8399.616026,12,0.0,MT,13,34010,3.164135620181696e-13,10,500000,233424280
87,Algorithm_R,8431.4919155,12,0.0,MT,13,34215,1.0943200345892024e-08,10,500000,233424280
88,PIKK,3.2969744,12,0.9930593725751764,MT,13,1078,0.9997024879455916,10,1000000,233424280
89,FYKD,1.4462579999999996,12,0.999892704365326,MT,13,734,0.9999953615611533,10,1000000,233424280
90,Random_Sample,10451.0424332,12,0.0,MT,13,42369,0.0,10,1000000,233424280
91,Algorithm_R,10405.874421999999,12,0.0,MT,13,42668,3.3306690738754696e-16,10,1000000,233424280
92,PIKK,2.8252747,12,0.9966568964686835,MT,13,2276,0.9998364936999783,10,5000000,233424280
93,FYKD,1.75340195,12,0.9997007049251422,MT,13,1974,0.999964344205033,10,5000000,233424280
94,Random_Sample,83402.03268505,12,0.0,MT,13,336773,1.4330684316998799e-07,10,5000000,233424280
95,Algorithm_R,83279.38350514999,12,0.0,MT,13,335830,1.1856135329058048e-07,10,5000000,233424280
96,PIKK,2.75596664,12,0.9970353740775567,MT,13,3425,0.9996876788791856,10,10000000,233424280
97,FYKD,4.4263694000000005,12,0.9744575604139724,MT,13,4272,0.997201776155502,10,10000000,233424280
98,Random_Sample,104147.49126123998,12,0.0,MT,13,419038,3.358310329826253e-08,10,10000000,233424280
99,Algorithm_R,104311.44518332,12,0.0,MT,13,418953,3.348769461730683e-08,10,10000000,233424280
100,PIKK,2.2564480000000002,12,0.9988996018597486,MT,13,459,0.994547552637664,10,100000,429496729
101,FYKD,2.1862999999999997,12,0.9990623739553209,MT,13,436,0.9966094041498401,10,100000,429496729
102,Random_Sample,2081.07792,12,0.0,MT,13,8544,0.0,10,100000,429496729
103,Algorithm_R,2074.791978,12,0.0,MT,13,8543,1.1102230246251565e-16,10,100000,429496729
104,PIKK,1.9339215,12,0.9995006100029536,MT,13,771,0.9996653403810142,10,500000,429496729
105,FYKD,3.2802275000000005,12,0.993221374961427,MT,13,1087,0.9908833986973855,10,500000,429496729
106,Random_Sample,8466.614113000001,12,0.0,MT,13,34369,1.4615620713698263e-08,10,500000,429496729
107,Algorithm_R,8258.0085535,12,0.0,MT,13,33828,0.0,10,500000,429496729
108,PIKK,6.2082880000000005,12,0.9052202165197428,MT,13,1447,0.9946992675095581,10,1000000,429496729
109,FYKD,1.1507576,12,0.9999691440380996,MT,13,618,0.9999993393540625,10,1000000,429496729
110,Random_Sample,10414.849876799999,12,0.0,MT,13,42259,0.0,10,1000000,429496729
111,Algorithm_R,10496.657732799998,12,0.0,MT,13,42673,1.2568736607043718e-08,10,1000000,429496729
112,PIKK,2.2677937499999996,12,0.9988713633184975,MT,13,2766,0.9988054834547281,10,5000000,429496729
113,FYKD,3.4271870499999992,12,0.9917028428268982,MT,13,3139,0.9959895399418381,10,5000000,429496729
114,Random_Sample,84002.43509805,12,0.0,MT,13,335738,1.1630124385764162e-07,10,5000000,429496729
115,Algorithm_R,83711.8923722,12,0.0,MT,13,335621,1.1102230246251565e-16,10,5000000,429496729
116,PIKK,3.96044108,12,0.9841396779476732,MT,13,3479,0.9996330756715849,10,10000000,429496729
117,FYKD,5.633643,12,0.9334129291256883,MT,13,4223,0.9974920191309681,10,10000000,429496729
118,Random_Sample,104650.7795886,12,0.0,MT,13,418953,3.348769461730683e-08,10,10000000,429496729
119,Algorithm_R,104059.70910756,12,0.0,MT,13,417597,0.0,10,10000000,429496729
120,PIKK,27.0836,29,0.5671945481982948,MT,30,391,0.8471345366748726,4,100000,100
121,FYKD,24.794600000000003,29,0.6888609615714106,MT,30,452,0.5723200850357961,4,100000,100
122,Random_Sample,2984.4924499999997,29,0.0,MT,30,3603,6.362733673270782e-10,4,100000,100
123,Algorithm_R,3232.7562499999995,29,0.0,MT,30,3887,6.900499061046617e-10,4,100000,100
124,PIKK,21.8174375,29,0.8276695978339742,MT,30,739,0.9755191635906162,4,500000,100
125,FYKD,25.145750000000003,29,0.670662595833834,MT,30,945,0.7174905007709586,4,500000,100
126,Random_Sample,12466.132587499998,29,0.0,MT,30,14905,9.070180162495944e-10,4,500000,100
127,Algorithm_R,12157.67975,29,0.0,MT,30,14277,8.99998187087192e-10,4,500000,100
128,PIKK,24.17689,29,0.7201622922210112,MT,30,788,0.9997283614263054,4,1000000,100
129,FYKD,29.175969999999996,29,0.45592960424891643,MT,30,1247,0.8353481225875078,4,1000000,100
130,Random_Sample,15114.62662,29,0.0,MT,30,17745,8.697302877891389e-10,4,1000000,100
131,Algorithm_R,15534.286809999998,29,0.0,MT,30,17992,8.737053303065068e-10,4,1000000,100
132,PIKK,37.165707499999996,29,0.14203296704789195,MT,30,4158,0.08115535307359445,4,5000000,100
133,FYKD,27.26717375,29,0.5572928628523215,MT,30,2869,0.7914614661580655,4,5000000,100
134,Random_Sample,123791.73238624999,29,0.0,MT,30,139782,9.313221305262687e-10,4,5000000,100
135,Algorithm_R,123933.03200374999,29,0.0,MT,30,139989,9.313221305262687e-10,4,5000000,100
136,PIKK,26.851771000000003,29,0.5797022740041615,MT,30,3584,0.9355111610897827,4,10000000,100
137,FYKD,42.45554200000001,29,0.051075841252433744,MT,30,4264,0.6997018402711046,4,10000000,100
138,Random_Sample,154661.69661400001,29,0.0,MT,30,173621,9.313227966600834e-10,4,10000000,100
139,Algorithm_R,154643.45186799997,29,0.0,MT,30,175291,9.313223525708736e-10,4,10000000,100
140,PIKK,30.7976,29,0.3750276794586469,MT,30,439,0.6381484597034355,4,100000,233424280
141,FYKD,40.88675,29,0.07044892758329674,MT,30,439,0.6381484597034355,4,100000,233424280
142,Random_Sample,3345.06935,29,0.0,MT,30,3861,6.854833367597735e-10,4,100000,233424280
143,Algorithm_R,3227.2142,29,0.0,MT,30,3786,6.719118594844531e-10,4,100000,233424280
144,PIKK,29.1560375,29,0.45696160610426767,MT,30,1065,0.4495587847592152,4,500000,233424280
145,FYKD,29.332062499999996,29,0.4478749188533397,MT,30,916,0.775209460035982,4,500000,233424280
146,Random_Sample,12412.4346875,29,0.0,MT,30,14426,9.01816732401528e-10,4,500000,233424280
147,Algorithm_R,12758.402675000001,29,0.0,MT,30,14542,9.031648762203304e-10,4,500000,233424280
148,PIKK,29.0068,29,0.4647121147097361,MT,30,865,0.9985652482661822,4,1000000,233424280
149,FYKD,29.46901,29,0.44084909141969536,MT,30,1333,0.7225217754162272,4,1000000,233424280
150,Random_Sample,15616.635339999997,29,0.0,MT,30,18302,8.783599403372477e-10,4,1000000,233424280
151,Algorithm_R,15137.75341,29,0.0,MT,30,17606,8.673851636942231e-10,4,1000000,233424280
152,PIKK,24.736283750000002,29,0.6918570913245131,MT,30,2549,0.9313036931549944,4,5000000,233424280
153,FYKD,25.151592499999996,29,0.670357676643381,MT,30,2530,0.9366962286557167,4,5000000,233424280
154,Random_Sample,124052.88173749999,29,0.0,MT,30,141143,9.313227966600834e-10,4,5000000,233424280
155,Algorithm_R,123643.93065124999,29,0.0,MT,30,140962,9.313223525708736e-10,4,5000000,233424280
156,PIKK,33.819106,29,0.245943623736466,MT,30,3676,0.9154883201354698,4,10000000,233424280
157,FYKD,23.562835000000003,29,0.7501795901809118,MT,30,2897,0.9963214070493235,4,10000000,233424280
158,Random_Sample,154682.51139400003,29,0.0,MT,30,174373,9.313221305262687e-10,4,10000000,233424280
159,Algorithm_R,154048.706266,29,0.0,MT,30,174082,9.313223525708736e-10,4,10000000,233424280
160,PIKK,17.9219,29,0.9458482672227341,MT,30,348,0.9538084054591718,4,100000,429496729
161,FYKD,31.5305,29,0.34085409078004825,MT,30,449,0.5876212158213434,4,100000,429496729
162,Random_Sample,3210.5618000000004,29,0.0,MT,30,3800,6.744902414368426e-10,4,100000,429496729
163,Algorithm_R,3204.2367499999996,29,0.0,MT,30,3772,6.693138265845278e-10,4,100000,429496729
164,PIKK,27.547212499999997,29,0.5422071640932433,MT,30,990,0.6193616189993445,4,500000,429496729
165,FYKD,20.039825,29,0.8916847963687536,MT,30,901,0.8027297730120226,4,500000,429496729
166,Random_Sample,12576.304475,29,0.0,MT,30,14909,9.070584283676908e-10,4,500000,429496729
167,Algorithm_R,12116.911587499997,29,0.0,MT,30,14406,9.015790336519558e-10,4,500000,429496729
168,PIKK,27.82552,29,0.5272561590292282,MT,30,1032,0.9792362770917493,4,1000000,429496729
169,FYKD,27.432459999999995,29,0.5483850149660641,MT,30,1034,0.9786997980732735,4,1000000,429496729
170,Random_Sample,15287.77003,29,0.0,MT,30,17852,8.7148188665509e-10,4,1000000,429496729
171,Algorithm_R,15568.497219999997,29,0.0,MT,30,18004,8.738918477746438e-10,4,1000000,429496729
172,PIKK,27.664276249999997,29,0.5359121440427617,MT,30,3307,0.4924827386725683,4,5000000,429496729
173,FYKD,28.63621625,29,0.4841259128745936,MT,30,2388,0.9678162995947729,4,5000000,429496729
174,Random_Sample,124545.12304625,29,0.0,MT,30,140678,9.313223525708736e-10,4,5000000,429496729
175,Algorithm_R,123174.70387625,29,0.0,MT,30,139994,9.313223525708736e-10,4,5000000,429496729
176,PIKK,20.001583000000004,29,0.8928778736162394,MT,30,2833,0.9974295831160521,4,10000000,429496729
